MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:300:0:'MorganTianLib.speedSq_globalGeodesic_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:301:0:'MorganTianLib.minimizing_radial_Ioo_of_minimizing_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:302:0:'MorganTianLib.not_isConjugatePointAt_of_minimizing_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:303:0:'MorganTianLib.not_isConjugatePointAt_of_minimizing_radial_Ioo' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:304:0:'MorganTianLib.isConjugatePointAt_of_comp_mul_left' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:305:0:'MorganTianLib.not_isConjugatePointAt_one_of_minimizing_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:306:0:'MorganTianLib.expDifferential_isEquiv_of_minimizing_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/NoConjugateOfMinimizing.lean:307:0:'MorganTianLib.expMapGlobal_locallyInjective_of_minimizing_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:246:0:'MorganTianLib.hasDerivAt_deriv_intervalIntegral_of_contDiffOn_box' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:247:0:'MorganTianLib.hasDerivAt_pieceEnergy' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:248:0:'MorganTianLib.hasDerivAt_deriv_pieceEnergy_chartIndexIntegrand' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:249:0:'MorganTianLib.hasDerivAt_deriv_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:250:0:'MorganTianLib.deriv_deriv_sum_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/PieceEnergyDeriv.lean:251:0:'MorganTianLib.continuousAt_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/RiemannianMeasureComparison.lean:192:0:'MorganTianLib.riemannianMeasure_global_chartDensity_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SecondVariationFrameBridge.lean:300:0:'MorganTianLib.deriv_deriv_dcEnergy_eq_zero_iff_isJacobiFieldAlongOn_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SecondVariationPrep.lean:133:0:'MorganTianLib.globalGeodesic_zero_velocity' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SecondVariationPrep.lean:134:0:'MorganTianLib.exists_forall_mem_of_isCompact_of_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SecondVariationPrep.lean:135:0:'MorganTianLib.exists_Icc_enlarged_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SmallRadiusNormalization.lean:170:0:'MorganTianLib.expBallVolume_ratio_mem_Icc_of_ball_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/SmallRadiusNormalization.lean:171:0:'MorganTianLib.tendsto_expBallVolume_ratio_nhdsGT_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/TransportedJacobianContinuity.lean:70:0:'MorganTianLib.continuousAt_transportedJacobian' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/VolumeInjectivityBridge.lean:102:0:'MorganTianLib.riemannianMeasure_ball_mem_Icc_of_metricTangentBall_jacobian_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/AdvanceShiGeometry.lean:111:0:'MorganTianLib.RiemannianShiTowerCertificate.riemannCovDerivNormAt_le' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/AdvanceShiGeometry.lean:112:0:'MorganTianLib.RiemannianShiTowerCertificate.covTensorDerivAlongNormAt_le' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/BianchiOperatorSquares.lean:249:0:'MorganTianLib.curvatureOperatorReactionTensor_eq_shiFrameQuadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureBOrthonormalBasis.lean:183:0:'MorganTianLib.sum_mul_bilinear_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureBOrthonormalBasis.lean:184:0:'MorganTianLib.curvatureB_eq_sum_orthonormalBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:145:0:'MorganTianLib.hasDerivAt_chartCurvatureCoef' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:442:0:'MorganTianLib.curvatureFormAt_eq_affineCurvatureFormAt' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:443:0:'MorganTianLib.ricciAt_leviCivita_eq_ricciTensorAt' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:444:0:'MorganTianLib.chartRicciCoefOnE_eq_ricciTensorAt_chartBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:445:0:'MorganTianLib.chartScalarCurvatureOnE_eq_scalarCurvatureAt' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:446:0:'MorganTianLib.hasDerivAt_chartRicciCoefOnE' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:447:0:'MorganTianLib.hasDerivAt_ricciAt_leviCivita_chartBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:448:0:'MorganTianLib.hasDerivAt_chartScalarCurvatureOnE' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:449:0:'MorganTianLib.hasDerivAt_chartScalarCurvatureOnE_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:450:0:'MorganTianLib.hasDerivAt_scalarCurvatureAt_leviCivita' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureCoordinateVariation.lean:451:0:'MorganTianLib.hasDerivAt_scalarCurvatureAt_leviCivita_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolution.lean:333:0:'MorganTianLib.curvatureEvolutionCorrection_apply_explicit' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolution.lean:334:0:'MorganTianLib.ricciFlowRiemannVariationIntrinsic_eq_curvature_evolution_explicit' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolution.lean:336:0:'MorganTianLib.exists_chartFrame_hasDerivAt_chartRiemannCoefOnE_curvatureEvolution_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolution.lean:338:0:'MorganTianLib.exists_chartFrame_hasDerivAt_chartRiemannCoefOnE_sq_curvatureEvolution_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolution.lean:340:0:'MorganTianLib.exists_chartFrame_hasDerivAt_chartRiemannCoefOnE_curvatureEvolution_explicit_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolutionCorrectionTensorial.lean:120:0:'MorganTianLib.isCovariantTensor4_curvatureEvolutionCorrection' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolutionEnergy.lean:107:0:'MorganTianLib.hasDerivAt_chartRiemannEnergyOnE_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolvingFrameEquation.lean:324:0:'MorganTianLib.hasDerivAt_ricciFlowFrameCurvatureComponent_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureEvolvingFrameEquation.lean:326:0:'MorganTianLib.hasDerivAt_ricciFlowFrameCurvatureEnergy_of_isRicciFlowOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureLaplacianFormula.lean:1000:0:'MorganTianLib.sum_curvatureFormAt_curvatureActions_y_e' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureLaplacianFormula.lean:1001:0:'MorganTianLib.curvatureLaplacianFormula_explicit' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureRicciTrace.lean:676:0:'MorganTianLib.covTensorDerivAlong_ricciTensorField_eq_orthoFrame_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureRicciTrace.lean:677:0:'MorganTianLib.covTensorDerivAlong_ricciTensorField_eq_stdOrthonormalBasis_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureRicciTrace.lean:678:0:'MorganTianLib.secondCovDerivAlong_ricciTensorField_eq_orthoFrame_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureRicciTrace.lean:679:0:'MorganTianLib.secondCovDerivAlong_ricciTensorField_eq_stdOrthonormalBasis_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch03/RicciFlow/CurvatureSecondDerivative.lean:549:0:'MorganTianLib.secondCovDerivAlong_riemannTensorField_sub_swap' depends on axioms: [propext, Classical.choice, Quot.sound]
